PROCODE5,NAME,POSTCODE,Latitude,Longitude
R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,WR4 9RW,52.19506,-2.213008
R1C,SOLENT NHS TRUST,SO16 4XE,50.92515,-1.446226
R1E,STAFFORDSHIRE AND STOKE ON TRENT PARTNERSHIP NHS TRUST,ST5 1QG,53.010128,-2.227616
R1F,ISLE OF WIGHT NHS TRUST,PO30 5TG,50.710843,-1.30133
R1G,TORBAY AND SOUTHERN DEVON HEALTH AND CARE NHS TRUST,TQ2 7TD,50.48778,-3.552785
R1H,BARTS HEALTH NHS TRUST,E1 1BB,51.519018,-0.058133
R1J,THE GLOUCESTERSHIRE CARE SERVICES NATIONAL HEALTH SERVICE TRUST,GL3 4AW,51.847073,-2.176389
RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,GU2 7XX,51.241016,-0.607463
RA3,WESTON AREA HEALTH NHS TRUST,BS23 4TQ,51.322335,-2.971399
RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,BA21 4AT,50.944843,-2.634712
RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,BS1 3NU,51.459478,-2.593019
RA9,SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,TQ2 7AA,50.482316,-3.553804
RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,BD9 6RJ,53.80598,-1.794697
RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,SS0 0RY,51.553838,0.688617
RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,NW3 2QG,51.553224,-0.165324
RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,HA7 4LP,51.632566,-0.310435
RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,N18 1QX,51.613094,-0.07375
RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,UB8 3NN,51.526077,-0.461175
RAT,NORTH EAST LONDON NHS FOUNDATION TRUST,IG3 8XJ,51.577993,0.110488
RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,KT2 7QB,51.414285,-0.28309
RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,TA1 5DA,51.011962,-3.11965
RBB,ROYAL NATIONAL HOSPITAL FOR RHEUMATIC DISEASES NHS FOUNDATION TRUST,BA1 1RL,51.382257,-2.361436
RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,DT1 2JY,50.71294,-2.446936
RBK,WALSALL HEALTHCARE NHS TRUST,WS2 9PS,52.58233,-1.998924
RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,CH49 5PE,53.36964,-3.096815
RBN,ST HELENS AND KNOWSLEY HOSPITALS NHS TRUST,L35 5DR,53.420469,-2.784954
RBQ,LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,L14 3PE,53.411151,-2.897989
RBS,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,L12 2AP,53.420242,-2.898723
RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,CW1 4QJ,53.117685,-2.475863
RBV,THE CHRISTIE NHS FOUNDATION TRUST,M20 4BX,53.429767,-2.230125
RBZ,NORTHERN DEVON HEALTHCARE NHS TRUST,EX31 4JB,51.092169,-4.050431
RC1,BEDFORD HOSPITAL NHS TRUST,MK42 9DJ,52.128265,-0.472495
RC3,EALING HOSPITAL NHS TRUST,UB1 3HW,51.507606,-0.345495
RC9,LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,LU4 0DZ,51.895405,-0.476044
RCB,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,YO31 8HE,53.968952,-1.084285
RCC,SCARBOROUGH AND NORTH EAST YORKSHIRE HEALTH CARE NHS TRUST,YO12 6QL,54.281708,-0.434753
RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,HG2 7SX,53.993807,-1.517573
RCF,AIREDALE NHS FOUNDATION TRUST,BD20 6TD,53.898015,-1.962695
RCU,SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,S10 2TH,53.380599,-1.490629
RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",PE30 4ET,52.756772,0.446984
RD1,ROYAL UNITED HOSPITAL BATH NHS TRUST,BA1 3NG,51.391665,-2.391218
RD3,POOLE HOSPITAL NHS FOUNDATION TRUST,BH15 2JB,50.721987,-1.973117
RD7,HEATHERWOOD AND WEXHAM PARK HOSPITALS NHS FOUNDATION TRUST,SL2 4HL,51.532007,-0.573992
RD8,MILTON KEYNES HOSPITAL NHS FOUNDATION TRUST,MK6 5LD,52.026374,-0.735796
RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,SS16 5NL,51.557677,0.450557
RDE,COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,CO4 5JL,51.910164,0.899182
RDR,SUSSEX COMMUNITY NHS TRUST,BN2 3EW,50.83046,-0.115477
RDU,FRIMLEY PARK HOSPITAL NHS FOUNDATION TRUST,GU16 7UJ,51.319666,-0.742029
RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,BH17 0RB,50.740073,-1.978038
RDZ,THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST,BH7 7DW,50.747482,-1.82052
RE9,SOUTH TYNESIDE NHS FOUNDATION TRUST,NE34 0PL,54.97198,-1.428239
REF,ROYAL CORNWALL HOSPITALS NHS TRUST,TR1 3LJ,50.266686,-5.091464
REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,L9 7AL,53.466323,-2.931104
REN,THE CLATTERBRIDGE CANCER CENTRE NHS FOUNDATION TRUST,CH63 4JY,53.332884,-3.024137
REP,LIVERPOOL WOMEN'S NHS FOUNDATION TRUST,L8 7SS,53.398461,-2.960077
RET,THE WALTON CENTRE NHS FOUNDATION TRUST,L9 7LJ,53.466395,-2.931
RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",RM7 0AG,51.568647,0.179031
RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,S75 2EP,53.559132,-1.499493
RFR,THE ROTHERHAM NHS FOUNDATION TRUST,S60 2UD,53.413972,-1.34288
RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,S44 5BL,53.236214,-1.400051
RFW,WEST MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,TW7 6AF,51.473648,-0.324434
RGD,LEEDS AND YORK PARTNERSHIP NHS FOUNDATION TRUST,LS15 8ZB,53.796822,-1.426439
RGM,PAPWORTH HOSPITAL NHS FOUNDATION TRUST,CB23 3RE,52.248642,-0.115586
RGN,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,PE3 9GZ,52.583921,-0.279386
RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,NR31 6LA,52.561672,1.71798
RGQ,IPSWICH HOSPITAL NHS TRUST,IP4 5PD,52.056849,1.197915
RGR,WEST SUFFOLK NHS FOUNDATION TRUST,IP33 2QZ,52.231662,0.709176
RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,CB2 0QQ,52.173741,0.139114
RH5,SOMERSET PARTNERSHIP NHS FOUNDATION TRUST,TA6 4RN,51.147996,-2.995248
RH8,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,EX2 5DW,50.716703,-3.50668
RHA,NOTTINGHAMSHIRE HEALTHCARE NHS TRUST,NG3 6AA,52.979272,-1.12643
RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,SO16 6YD,50.933019,-1.435104
RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,S5 7AU,53.409821,-1.455965
RHU,PORTSMOUTH HOSPITALS NHS TRUST,PO6 3LY,50.850297,-1.069932
RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,RG1 5AN,51.451022,-0.95933
RHX,OXFORDSHIRE LEARNING DISABILITY NHS TRUST,OX3 7JH,51.743453,-1.198679
RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,SE1 9RT,51.504642,-0.08899
RJ2,LEWISHAM HEALTHCARE NHS TRUST,SE13 6LH,51.454329,-0.017051
RJ6,CROYDON HEALTH SERVICES NHS TRUST,CR7 7YE,51.389129,-0.108783
RJ7,ST GEORGE'S HEALTHCARE NHS TRUST,SW17 0QT,51.426718,-0.175746
RJ8,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,PL26 6AD,50.327877,-4.772363
RJC,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,CV34 5BW,52.289965,-1.583203
RJD,MID STAFFORDSHIRE NHS FOUNDATION TRUST,ST16 3SA,52.811291,-2.097785
RJE,UNIVERSITY HOSPITAL OF NORTH STAFFORDSHIRE NHS TRUST,ST4 7LN,53.006753,-2.199491
RJF,BURTON HOSPITALS NHS FOUNDATION TRUST,DE13 0RB,52.817775,-1.656384
RJL,NORTHERN LINCOLNSHIRE AND GOOLE HOSPITALS NHS FOUNDATION TRUST,DN33 2BA,53.544858,-0.096229
RJN,EAST CHESHIRE NHS TRUST,SK10 3BL,53.262321,-2.141074
RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,CH2 1UL,53.2088,-2.897884
RJX,CALDERSTONES PARTNERSHIP NHS FOUNDATION TRUST,BB7 9PE,53.829706,-2.423673
RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,SE5 9RS,51.468077,-0.093916
RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,NG17 4JL,53.13434,-1.232284
RK9,PLYMOUTH HOSPITALS NHS TRUST,PL6 8DH,50.41672,-4.113684
RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,CV2 2DX,52.421211,-1.438403
RKE,THE WHITTINGTON HOSPITAL NHS TRUST,N19 5NF,51.566311,-0.138637
RKL,WEST LONDON MENTAL HEALTH NHS TRUST,UB1 3EU,51.506667,-0.349737
RL1,THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,SY10 7AG,52.884212,-3.032685
RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,WV10 0QP,52.599722,-2.095555
RLN,CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST,SR4 7TP,54.903063,-1.411018
RLQ,WYE VALLEY NHS TRUST,HR1 2ER,52.057013,-2.705709
RLT,GEORGE ELIOT HOSPITAL NHS TRUST,CV10 7DJ,52.51258,-1.478439
RLU,BIRMINGHAM WOMEN'S NHS FOUNDATION TRUST,B15 2TG,52.45323,-1.942905
RLY,NORTH STAFFORDSHIRE COMBINED HEALTHCARE NHS TRUST,ST4 8HH,52.96839,-2.167808
RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,NR4 7UY,52.618086,1.221067
RM2,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,M23 9LT,53.387922,-2.293183
RM3,SALFORD ROYAL NHS FOUNDATION TRUST,M6 8HD,53.487545,-2.323424
RMC,BOLTON NHS FOUNDATION TRUST,BL4 0JR,53.553957,-2.429894
RMP,TAMESIDE HOSPITAL NHS FOUNDATION TRUST,OL6 9RW,53.49153,-2.071433
RMY,NORFOLK AND SUFFOLK NHS FOUNDATION TRUST,NR6 5BE,52.659531,1.250872
RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,SN3 6BB,51.538528,-1.7272
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,RG24 9NA,51.280633,-1.109918
RN7,DARTFORD AND GRAVESHAM NHS TRUST,DA2 8DA,51.434952,0.258645
RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,DY1 2HQ,52.502944,-2.118518
RNK,TAVISTOCK AND PORTMAN NHS FOUNDATION TRUST,NW3 5BA,51.546898,-0.175443
RNL,NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST,CA28 8JG,54.530195,-3.563175
RNN,CUMBRIA PARTNERSHIP NHS FOUNDATION TRUST,CA1 3SX,54.874915,-2.883908
RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,NN16 8UZ,52.402783,-0.741293
RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,NN1 5BD,52.236054,-0.883844
RNU,OXFORD HEALTH NHS FOUNDATION TRUST,OX4 2GX,51.728909,-1.209853
RNZ,SALISBURY NHS FOUNDATION TRUST,SP2 8BJ,51.043946,-1.789823
RP1,NORTHAMPTONSHIRE HEALTHCARE NHS FOUNDATION TRUST,NN15 7PW,52.3941,-0.7222
RP4,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,WC1N 3JH,51.52221,-0.119924
RP5,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,DN2 5LT,53.530751,-1.109226
RP6,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,EC1V 2PD,51.527246,-0.089889
RP7,LINCOLNSHIRE PARTNERSHIP NHS FOUNDATION TRUST,NG34 8GG,53.008852,-0.392521
RPA,MEDWAY NHS FOUNDATION TRUST,ME7 5NY,51.379862,0.542062
RPC,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,RH19 3DZ,51.135073,-0.0029
RPG,OXLEAS NHS FOUNDATION TRUST,DA2 7WG,51.434795,0.174741
RPY,THE ROYAL MARSDEN NHS FOUNDATION TRUST,SW3 6JJ,51.490561,-0.172565
RQ3,BIRMINGHAM CHILDREN'S HOSPITAL NHS FOUNDATION TRUST,B4 6NH,52.484895,-1.893754
RQ6,ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST,L7 8XP,53.409506,-2.964809
RQ8,MID ESSEX HOSPITAL SERVICES NHS TRUST,CM1 7ET,51.774654,0.465993
RQF,VELINDRE NHS TRUST,CF15 7QW,51.565025,-3.2772
RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,SW10 9NH,51.484308,-0.181644
RQQ,HINCHINGBROOKE HEALTH CARE NHS TRUST,PE29 6NT,52.33335,-0.202679
RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,CM20 1QX,51.771529,0.085457
RQX,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,E9 6SR,51.550634,-0.046099
RQY,SOUTH WEST LONDON AND ST GEORGE'S MENTAL HEALTH NHS TRUST,SW17 7DJ,51.437039,-0.171537
RR1,HEART OF ENGLAND NHS FOUNDATION TRUST,B9 5ST,52.477877,-1.82753
RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,NE9 6SX,54.93938,-1.580781
RR8,LEEDS TEACHING HOSPITALS NHS TRUST,LS9 7TF,53.806869,-1.520359
RRD,NORTH ESSEX PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,CM2 0QX,51.729809,0.467157
RRE,SOUTH STAFFORDSHIRE AND SHROPSHIRE HEALTHCARE NHS FOUNDATION TRUST,ST16 3SR,52.810634,-2.109266
RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",WN1 2NN,53.55774,-2.629091
RRJ,THE ROYAL ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,B31 2AP,52.421134,-1.960827
RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,B15 2TH,52.453183,-1.938476
RRP,"BARNET, ENFIELD AND HARINGEY MENTAL HEALTH NHS TRUST",N15 3TH,51.580625,-0.092097
RRU,LONDON AMBULANCE SERVICE NHS TRUST,SE1 8SD,51.500174,-0.109031
RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,NW1 2PG,51.525735,-0.137409
RT1,CAMBRIDGESHIRE AND PETERBOROUGH NHS FOUNDATION TRUST,CB21 5EF,52.185214,0.188175
RT2,PENNINE CARE NHS FOUNDATION TRUST,OL6 7SR,53.486097,-2.099213
RT3,ROYAL BROMPTON & HAREFIELD NHS FOUNDATION TRUST,SW3 6NP,51.489743,-0.170855
RT4,WELSH AMBULANCE SERVICES NHS TRUST,LL17 0WA,53.319082,-3.484354
RT5,LEICESTERSHIRE PARTNERSHIP NHS TRUST,LE5 0TD,52.649622,-1.088609
RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,NE7 7DN,55.002759,-1.593722
RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,GL53 7AG,51.890861,-2.07058
RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,NE29 8NH,55.025241,-1.46734
RTG,DERBY HOSPITALS NHS FOUNDATION TRUST,DE22 3NE,52.911193,-1.514514
RTH,OXFORD UNIVERSITY HOSPITALS NHS TRUST,OX3 9DU,51.763871,-1.219806
RTK,ASHFORD AND ST. PETER'S HOSPITALS NHS FOUNDATION TRUST,KT16 0PZ,51.377832,-0.52706
RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,RH1 5RH,51.219194,-0.162009
RTQ,2GETHER NHS FOUNDATION TRUST,GL1 1LY,51.860419,-2.24469
RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,TS4 3BW,54.551755,-1.214805
RTV,5 BOROUGHS PARTNERSHIP NHS FOUNDATION TRUST,WA2 8WA,53.429516,-2.606862
RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,LA9 7RG,54.306703,-2.732552
RV3,CENTRAL AND NORTH WEST LONDON NHS FOUNDATION TRUST,NW1 7QY,51.533441,-0.139618
RV5,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,SE5 8AZ,51.468738,-0.091441
RV8,NORTH WEST LONDON HOSPITALS NHS TRUST,HA1 3UJ,51.575407,-0.322037
RV9,HUMBER NHS FOUNDATION TRUST,HU10 6ED,53.771971,-0.444478
RVJ,NORTH BRISTOL NHS TRUST,BS16 1JE,51.49627,-2.521557
RVL,BARNET AND CHASE FARM HOSPITALS NHS TRUST,EN5 3DJ,51.650726,-0.214152
RVN,AVON AND WILTSHIRE MENTAL HEALTH PARTNERSHIP NHS TRUST,SN15 1GG,51.468571,-2.108859
RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,SM5 1AA,51.380313,-0.183642
RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,CT1 3NG,51.266589,1.087083
RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,TS24 9AH,54.702398,-1.227837
RVY,SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,PR8 6PN,53.633667,-2.978159
RW1,SOUTHERN HEALTH NHS FOUNDATION TRUST,SO40 2RZ,50.9313,-1.530052
RW3,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,M13 9WL,53.462436,-2.227711
RW4,MERSEY CARE NHS TRUST,L3 1DL,53.407589,-2.999018
RW5,LANCASHIRE CARE NHS FOUNDATION TRUST,PR5 6AW,53.719261,-2.638861
RW6,PENNINE ACUTE HOSPITALS NHS TRUST,M8 5RB,53.517882,-2.229502
RWA,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,HU3 2JZ,53.744113,-0.358146
RWD,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,LN2 4AX,53.235327,-0.522797
RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,LE5 4QF,52.630611,-1.085532
RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,ME16 9QQ,51.273662,0.483974
RWG,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,WD18 0HB,51.648921,-0.404187
RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,SG1 4AB,51.924611,-0.212726
RWJ,STOCKPORT NHS FOUNDATION TRUST,SK2 7JE,53.383778,-2.13202
RWK,EAST LONDON NHS FOUNDATION TRUST,E1 6LP,51.516329,-0.0723
RWN,SOUTH ESSEX PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,SS11 7XX,51.633022,0.543375
RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,WR5 1DD,52.191193,-2.181158
RWR,HERTFORDSHIRE PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,AL3 5TL,51.761931,-0.34562
RWV,DEVON PARTNERSHIP NHS TRUST,EX2 5AF,50.715395,-3.506298
RWW,WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST,WA5 1QG,53.393973,-2.610717
RWX,BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST,RG12 1LD,51.416755,-0.754681
RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,HD3 3EA,53.655474,-1.816338
RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,NG7 2UH,52.943799,-1.185957
RX2,SUSSEX PARTNERSHIP NHS FOUNDATION TRUST,BN13 3EP,50.84121,-0.411162
RX3,"TEES, ESK AND WEAR VALLEYS NHS FOUNDATION TRUST",DL2 2TS,54.543575,-1.591162
RX4,"NORTHUMBERLAND, TYNE AND WEAR NHS FOUNDATION TRUST",NE3 3XT,55.006488,-1.6331
RX5,GREAT WESTERN AMBULANCE SERVICE NHS TRUST,SN15 1GG,51.468571,-2.108859
RX6,NORTH EAST AMBULANCE SERVICE NHS FOUNDATION TRUST,NE15 8NY,54.969713,-1.712365
RX7,NORTH WEST AMBULANCE SERVICE NHS TRUST,BL1 5DD,53.578528,-2.475875
RX8,YORKSHIRE AMBULANCE SERVICE NHS TRUST,WF2 0XQ,53.709375,-1.517968
RX9,EAST MIDLANDS AMBULANCE SERVICE NHS TRUST,NG8 6PY,52.98146,-1.238124
RXA,CHESHIRE AND WIRRAL PARTNERSHIP NHS FOUNDATION TRUST,CH2 1BQ,53.211544,-2.898825
RXC,EAST SUSSEX HEALTHCARE NHS TRUST,TN37 7PT,50.887621,0.562016
RXE,ROTHERHAM DONCASTER AND SOUTH HUMBER NHS FOUNDATION TRUST,DN4 8QN,53.49618,-1.14467
RXF,MID YORKSHIRE HOSPITALS NHS TRUST,WF1 4EE,53.692418,-1.488555
RXG,SOUTH WEST YORKSHIRE PARTNERSHIP NHS FOUNDATION TRUST,WF1 3SP,53.69734,-1.494054
RXH,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,BN2 5BE,50.819468,-0.118177
RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,B18 7QH,52.488627,-1.932507
RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,FY3 8NR,53.82066,-3.016279
RXM,DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST,DE22 3LZ,52.917406,-1.51495
RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,PR2 9HT,53.79135,-2.707403
RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,DL3 6HX,54.530374,-1.563733
RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,HP7 0JD,51.662947,-0.621388
RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,BB2 3HH,53.73556,-2.462716
RXT,BIRMINGHAM AND SOLIHULL MENTAL HEALTH NHS FOUNDATION TRUST,B1 3RB,52.484114,-1.917317
RXV,GREATER MANCHESTER WEST MENTAL HEALTH NHS FOUNDATION TRUST,M25 3BL,53.536749,-2.291465
RXW,SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,SY3 8XQ,52.709357,-2.793752
RXX,SURREY AND BORDERS PARTNERSHIP NHS FOUNDATION TRUST,KT22 7AD,51.297591,-0.335629
RXY,KENT AND MEDWAY NHS AND SOCIAL CARE PARTNERSHIP TRUST,ME19 4AX,51.279244,0.398294
RY1,LIVERPOOL COMMUNITY HEALTH NHS TRUST,L13 1FB,53.40412,-2.929955
RY2,BRIDGEWATER COMMUNITY HEALTHCARE NHS TRUST,WN3 6PR,53.528915,-2.658337
RY3,NORFOLK COMMUNITY HEALTH AND CARE NHS TRUST,NR1 3FR,52.621989,1.300061
RY4,HERTFORDSHIRE COMMUNITY NHS TRUST,AL7 1BW,51.802225,-0.194146
RY5,LINCOLNSHIRE COMMUNITY HEALTH SERVICES NHS TRUST,NG34 8GG,53.008852,-0.392521
RY6,LEEDS COMMUNITY HEALTHCARE NHS TRUST,LS6 1PF,53.814971,-1.568473
RY7,WIRRAL COMMUNITY NHS TRUST,CH41 5AL,53.390806,-3.016068
RY8,DERBYSHIRE COMMUNITY HEALTH SERVICES NHS TRUST,DE45 1AD,53.218791,-1.67234
RY9,HOUNSLOW AND RICHMOND COMMUNITY HEALTHCARE NHS TRUST,TW11 8HU,51.427449,-0.326599
RYA,WEST MIDLANDS AMBULANCE SERVICE NHS FOUNDATION TRUST,DY5 1LX,52.486146,-2.119688
RYC,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,NR6 5NA,52.657457,1.249446
RYD,SOUTH EAST COAST AMBULANCE SERVICE NHS FOUNDATION TRUST,BN7 2XW,50.873637,0.014303
RYE,SOUTH CENTRAL AMBULANCE SERVICE NHS FOUNDATION TRUST,RG40 2NN,51.406604,-0.837096
RYF,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,EX2 7HY,50.720169,-3.464744
RYG,COVENTRY AND WARWICKSHIRE PARTNERSHIP NHS TRUST,CV6 6NY,52.456965,-1.486211
RYH,NHS DIRECT NHS TRUST,E1 8EU,51.512913,-0.070196
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,W2 1NY,51.516969,-0.173569
RYK,DUDLEY AND WALSALL MENTAL HEALTH PARTNERSHIP NHS TRUST,DY2 8PS,52.508328,-2.084448
RYQ,SOUTH LONDON HEALTHCARE NHS TRUST,DA14 6LT,51.419041,0.101661
RYR,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,BN11 2DH,50.816691,-0.363429
RYT,PUBLIC HEALTH WALES NHS TRUST,CF11 9LJ,51.482965,-3.190118
RYV,CAMBRIDGESHIRE COMMUNITY SERVICES NHS TRUST,PE27 5BB,52.321978,-0.072222
RYW,BIRMINGHAM COMMUNITY HEALTHCARE NHS TRUST,B7 4BN,52.487324,-1.885825
RYX,CENTRAL LONDON COMMUNITY HEALTHCARE NHS TRUST,SW1E 6QP,51.497552,-0.137377
RYY,KENT COMMUNITY HEALTH NHS TRUST,TN25 4AZ,51.17193,0.870643
R1K,LONDON NORTH WEST HOSPITALS NHS TRUST,,51.575083,-0.319389
RJJ,SOUTH LONDON HOSPITALS AMALGAM,,51.468539,-0.092208
